2025-12-05 10:50:49,888 - Trying to connect to 192.168.1.2:5555
2025-12-05 10:50:53,608 - Trying to connect to 192.168.1.2:5555
2025-12-05 13:00:32,717 - Trying to connect to 222:5555
2025-12-05 17:43:59,774 - zerotier-cli failed: [WinError 2] The system cannot find the file specified
2025-12-05 17:44:00,030 - Found ZeroTier IP (Windows): 10.147.19.47 on Description . . . . . . . . . . .  ZeroTier Virtual Port
2025-12-05 17:44:00,031 - psutil check failed: No module named 'psutil'
2025-12-05 17:44:00,031 - All detected ZeroTier IPs: ['10.147.19.47']
2025-12-05 17:44:00,031 - Selected ZeroTier IP (any range): 10.147.19.47
2025-12-05 17:44:16,217 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:16,723 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:17,229 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:17,736 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:18,241 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:18,745 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:19,252 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:19,757 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:20,261 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:20,764 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:21,270 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:21,776 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:22,281 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:22,785 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:23,289 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:23,793 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:24,297 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:24,802 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:25,305 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:25,808 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:26,378 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:26,881 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:27,385 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:27,889 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:28,394 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:28,898 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:29,401 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:29,907 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:30,412 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:30,915 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:31,418 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:31,925 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:32,429 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:32,932 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:33,434 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
